Item,Qty.,Min. Qty.,Price (USD),Link
AMS1117-3.3,1,10,0.4,https://www.lcsc.com/product-detail/C347222.html?s_z=n_AMS1117
TCJB226M025R0150E,1,1,0.57,https://www.lcsc.com/product-detail/C2160823.html?s_z=n_TCJB226M025R0150E
CL21B105KBFNNNE,1,20,0.26,https://www.lcsc.com/product-detail/C28323.html?s_z=n_CL21B105KBFNNNE
CL21A226MAQNNNE,1,20,0.64,https://www.lcsc.com/product-detail/C45783.html?s_z=n_CL21A226MAQNNNE
CC0805KRX7R9BB104,2,100,0.51,https://www.lcsc.com/product-detail/C49678.html?s_z=n_CC0805KRX7R9BB104
TS-1088-AR02016,2,10,0.51,https://www.lcsc.com/product-detail/C720477.html?s_z=n_TS-1088-AR02016
TAJA106K016RNJ,1,2,0.25,https://www.lcsc.com/product-detail/C7171.html?s_z=n_TAJA106K016RNJ%2520
TYPE-C-31-M-12,1,5,0.84,https://www.lcsc.com/product-detail/C165948.html?s_z=n_C165948
RC0805FR-0710KL,3,100,0.23,https://www.lcsc.com/product-detail/C84376.html
0805W8F1000T5E,1,100,0.21,https://www.lcsc.com/product-detail/C17408.html
0805W8F5101T5E,6,100,0.24,https://www.lcsc.com/product-detail/C27834.html
ESP32-S3-WROOM-1-N16R8,1,1,5.27,https://www.lcsc.com/product-detail/C2913202.html?s_z=n_C2913202
TSW-120-07-T-S,1,1,0.8,https://www.lcsc.com/product-detail/C3331282.html
WJ500V-5.08-2P,1,5,0.65,https://www.lcsc.com/product-detail/C8465.html
DB128V-5.08-7P-GN-S,1,1,0.61,https://www.lcsc.com/product-detail/C2927514.html




